,target_end_date,horizon,mu_KL,sigma_KL,mu_CDF,sigma_CDF,KL_lower_95,KL_lower_80,KL_lower_50,KL_pred,KL_upper_50,KL_upper_80,KL_upper_95,KL_WIS,CDF_lower_95,CDF_lower_80,CDF_lower_50,CDF_pred,CDF_upper_50,CDF_upper_80,CDF_upper_95,CDF_WIS,wis_COVIDhub,y,lower_95_COVIDhub,lower_80_COVIDhub,lower_50_COVIDhub,pred_COVIDhub,upper_50_COVIDhub,upper_80_COVIDhub,upper_95_COVIDhub,lower_95_calculated,lower_80_calculated,lower_50_calculated,pred_calculated,upper_50_calculated,upper_80_calculated,upper_95_calculated,wis_calculated
0,2020-10-24,1,12.8703215463902,0.18609577995367282,12.820586113521058,0.4116338167190821,269838.93420711753,306149.92387373815,342765.51075916656,388606.11290667055,440577.3225373826,493270.4508876939,559647.5965641012,41068.8123469018,165016.15512410054,218175.73726739243,280111.58575309836,369751.38026010356,488077.21693010855,626632.8461477585,828501.2040271708,47795.87279280404,76777.84999999999,485474.0,312392.0,332972.0,360710.0,388452.0,405350.0,422750.0,431219.0,312392.0,332972.0,360710.0,388452.0,405350.0,422750.0,431218.82,76777.90014285714
1,2020-10-31,1,13.196710711426865,0.1408012290099647,13.245183501098513,0.16549698568922216,408703.55735499057,449668.8383086394,489794.7602183684,538590.441048236,592247.3794109299,645096.2096453552,709755.6602292473,19847.992565585824,408732.16597424075,457298.02005508123,505628.4957859748,565340.5099648024,632104.192843097,698909.41615878,781954.3427551171,19577.532374791754,64464.59999999999,572162.0,388545.0,433541.0,456985.0,472736.0,495651.0,522851.0,544569.0,388545.0,433541.0,456985.0,472736.0,499944.555,527292.5,544908.5625,62307.860089285714
2,2020-11-07,1,13.265112757962155,0.18552599847075077,13.240578607235346,0.22643775365594365,400908.49280889676,454681.12323017063,508885.01872452005,576720.3453883082,653598.2482220855,731515.6486415999,829631.6060916043,98478.79091136069,361048.928928789,420999.51032451243,483037.0623510916,562743.1617659957,655601.5900167375,752209.5830237146,877110.6649006277,98157.40818919365,150224.86428571428,777428.0,493193.0,521196.0,546555.0,568680.0,598442.0,639387.0,703080.0,493193.2886208861,521196.2213357425,546555.319939228,568680.0759846279,598441.6525982551,635094.0899947145,703079.16,151329.02177995662
3,2020-11-14,1,13.631948968405371,0.13492926146511017,13.658104120575379,0.1863243763539735,638893.1311481019,700136.1969260066,759898.814471627,832300.613131653,911600.7255531658,989413.6507450645,1084256.9388318327,95173.61013723628,592979.4680268628,672878.3431854311,753459.2679942857,854356.745717037,968765.6386459656,1084780.713102924,1230945.5694663934,73826.56305319241,156226.41428571427,1028914.0,638931.0,686279.0,723071.0,790658.0,859105.0,917712.0,947117.0,638931.0,686279.0,723071.0,790658.0,859105.0,909573.5,937025.6538055112,161130.33215417902
4,2020-11-21,1,13.99511374097906,0.16243950004916258,14.065055490994704,0.2683444694216993,870426.1264335661,971832.8905744618,1072550.444491277,1196742.3811838124,1335314.6551543379,1473702.2597320364,1645392.1630198343,39919.41425836377,758509.039634579,909962.0880139993,1070953.4632958365,1283441.2320641624,1538088.6776285185,1810208.818432701,2171656.9086057884,80291.65410897204,36702.94285714287,1205674.0,909903.0,979407.0,1036743.0,1136360.0,1246287.0,1280910.0,1360583.0,918561.85,988967.1282797896,1037512.041485,1146557.548051495,1237882.2,1265102.75,1347608.0,33711.56615000671
5,2020-11-28,1,14.082865959223394,0.15371899275594778,14.09366298301609,0.19979641870459708,966640.8216257636,1072890.6902491571,1177829.71003395,1306504.6972425345,1449237.1090449106,1590986.4252064682,1765862.2372743704,57778.08778884391,892756.5462546981,1022349.093138952,1154181.908304889,1320687.4877265962,1511213.6377178733,1706085.9660786376,1953741.4175846032,72522.56722678868,49717.31428571429,1181342.0,997585.0,1112485.0,1194547.0,1292124.0,1408050.0,1485097.0,1588691.0,997585.0,1109880.8,1191128.40034607,1274934.52,1398160.33084463,1424288.09751357,1586384.1,44143.24292059059
6,2020-12-05,1,13.903152244348057,0.14800058952104422,13.945126517081496,0.21926768238395963,816740.2723471918,903003.6343535985,987890.72036356,1091596.9179063945,1206189.9222458708,1319578.1122583374,1458950.7479021482,132013.86191214857,740713.9198347888,859515.1029606711,981888.181536725,1138391.1106376257,1319839.005242468,1507750.4936385804,1749574.6820416395,96655.62956803346,124138.6357142857,1368531.0,918189.0,996064.0,1070182.0,1148850.0,1205107.0,1282722.0,1438776.0,918189.825,996064.7,1070182.0,1148850.0,1205107.0,1282722.0,1438776.0,124138.60982142856
7,2020-12-12,1,14.071788615909599,0.00039998944462390904,14.291864402851305,0.0807004221791376,1291099.386522528,1291449.7839596765,1291763.4096999778,1292111.9599904506,1292460.6043285672,1292774.4755443723,1293125.327591682,220452.7225378568,1374629.0650879997,1451985.7357681978,1524889.9404994766,1610192.6736119606,1700267.2634225588,1785637.6838178174,1886123.6911120133,42977.619569082795,44156.69285714285,1513041.0,1148152.0,1255431.0,1316415.0,1412966.0,1528058.0,1628333.0,1720551.0,1145464.325,1240634.1,1316415.0,1412965.69270038,1528057.45331262,1628332.91,1720550.9,44598.66067227571
8,2020-12-19,1,14.229569600464052,0.12573362003007055,14.280053533006601,0.27924766336403156,1182493.8914703375,1287786.5925093123,1389929.4695641298,1512946.4523879464,1646851.166132254,1777473.8307633996,1935745.2789435333,43445.77327437042,920560.6541030301,1112570.045010548,1318102.6132687037,1591286.7649079286,1921089.8625651516,2275985.749865425,2750708.0135186133,94852.12835684388,24092.071428571428,1553006.0,1291201.0,1394519.0,1457077.0,1540576.0,1610156.0,1676514.0,1756721.0,1281316.6345000002,1374393.4550100002,1451557.1415058752,1532985.68335404,1616809.502421155,1678378.5,1774976.3125,26875.212857371436
9,2020-12-26,1,14.219286929901767,0.09315686901085495,14.173592238058296,0.15427345810570559,1247563.268716732,1328952.5035639664,1406273.1072099174,1497469.0334128938,1594578.9580514366,1687354.1379521638,1797434.697109299,58224.867364393715,1057292.3554103493,1173947.8367356206,1289205.0832163913,1430582.465818178,1587463.637981099,1743319.5304463229,1935667.2551672033,53178.40384721643,93171.90714285716,1365256.0,1320040.0,1425446.0,1479896.0,1536602.0,1612170.0,1652279.0,1713915.0,1291496.78626796,1370354.19998809,1455688.1580245,1536602.0,1612169.5451579,1655171.486669565,1725179.6175000002,74185.00121282527
10,2021-01-02,1,14.141995974118327,0.14160871507497852,14.159981159423676,0.14179627862771849,1050154.6454547825,1156047.1373289286,1259823.69843641,1386088.035121232,1525007.0652669286,1661904.5876842907,1829482.9713144016,55302.650665440095,1068819.749903899,1176744.066013661,1282524.5817159184,1411242.612094071,1552879.1717391354,1692471.4283343374,1863369.113799748,52469.23193949504,48367.24285714286,1500477.0,1136742.0,1226516.0,1280359.0,1418752.0,1462698.0,1536207.0,1700342.0,1130206.485164135,1206403.919239305,1259354.7222383749,1417105.98147963,1458088.0,1545870.9565,1732150.41140546,52215.180166483966
11,2021-01-09,1,14.120713761212087,0.1372562237134653,14.12497960921857,0.1768061142975834,1036848.6286151286,1138034.0712774592,1236921.0742388435,1356900.7016233783,1488518.1863353828,1617859.746500618,1775745.7195320744,193600.28262048124,963613.9175930627,1086414.5805158825,1209509.782863371,1362701.3974232096,1535295.6419608674,1709250.8990972817,1927073.763294654,164284.1008586571,147643.74285714288,1733230.0,1246307.0,1298368.0,1350562.0,1423488.0,1530669.0,1669032.0,1767505.0,1246307.0,1292746.31,1346185.96105052,1412917.82821143,1523190.86564273,1669032.0,1795033.86291627,151426.05342071835
12,2021-01-16,1,14.316920149753402,0.12983654336746736,14.329807080213605,0.1762433484133488,1280095.4467330952,1397964.662585547,1512609.3019847907,1651046.9333983087,1802154.708890828,1949946.2677706615,2129494.3148503606,55271.98589917337,1183961.3671633,1334333.0555665996,1485011.015696054,1672461.5483776622,1883573.6578632302,2096273.9543419757,2362515.9641007176,74468.11129474234,64030.50000000001,1561782.0,1456944.0,1547518.0,1617598.0,1700701.0,1815564.0,1907733.0,1989674.0,1456944.0,1547518.0,1617598.0,1700701.0,1815564.0,1932936.9,2005348.0,64862.56857142857
13,2021-01-23,1,14.177023286661488,0.1324310227604652,14.27851587399383,0.2226431192832772,1107331.0866979114,1211422.8091652133,1312835.5779443812,1435499.2939038954,1569623.9936040817,1701023.1334661543,1860923.30248175,93800.76189598403,1026990.6439516951,1194439.0703128162,1367295.65443819,1588841.7887235393,1846285.5647935765,2113475.9338817396,2458073.249704262,164247.2222541465,213997.5,1222853.0,1281020.0,1378272.0,1468045.0,1590113.0,1692207.0,1740660.0,1853178.0,1236043.796705,1346212.7961455649,1455420.6960399998,1587715.975,1695466.794,1762890.27114935,1900695.7875,191384.3851859481
14,2021-01-30,1,13.837644745291593,0.1521759197911741,13.821873066917261,0.17668970450812896,758717.9828146504,841232.5838689804,922648.5273236755,1022380.9658355392,1132893.8467336001,1242537.271316165,1377669.783738552,35800.0316292936,711810.9316122857,802459.0458611613,893317.7970103329,1006382.792708783,1133758.1416712939,1262128.3674027664,1422858.627875066,42567.66124902251,53911.97857142857,1056650.0,965252.0,1011596.0,1069851.0,1226752.0,1261133.0,1319082.0,1440085.0,933895.8499999604,968777.8996500096,1065598.0,1226751.89548859,1275818.625,1335387.50834068,1444698.85914414,55995.75431199045
15,2021-02-06,1,13.770775639829045,0.12177655535008189,13.72541831800506,0.15392468611431176,753208.9642001771,818077.7865727721,880846.4520102399,956250.9330194732,1038110.3821372751,1117761.4915220183,1214026.7712713953,46441.34763526869,675853.4062773113,750245.5977234916,823729.678436978,913846.888183814,1013823.0500907385,1113123.6725377338,1235646.8537210885,36852.98019224736,62667.05,851488.0,765652.0,833823.0,906296.0,995685.0,1091285.0,1174170.0,1251501.0,765652.0,830549.0,896687.449454507,998827.0,1092913.5,1174170.0,1259742.08450542,61325.6612010045
16,2021-02-13,1,13.513952041801927,0.10881453992067376,13.62787949414686,0.2312089623808497,597601.5237399323,643386.2983159083,687321.7141042952,739664.5427577904,795993.5276103802,850350.1508272073,915499.0643082476,35200.36075001414,526874.8141392188,616351.863512434,709227.3513114336,828920.4695795302,968813.6584374729,1114800.1418739727,1304122.2059750808,76598.76443278826,51605.52142857143,659843.0,607097.0,673475.0,709085.0,768028.0,843911.0,883940.0,963090.0,597809.5,669277.55,704656.196991699,765075.0,847021.2405599949,889180.002904675,996675.95,49833.40412121159
17,2021-02-20,1,13.324053010861691,0.25178613565517094,13.269625910147646,0.40245607953386503,373458.1589953631,443022.6137350371,516187.75425736536,611734.1127876558,724966.1032476163,844694.1829744,1002036.2809980721,62677.002249360004,263241.32839979464,345883.6380831036,441606.02154538856,579329.054397933,760003.570818854,970332.552096509,1274959.9590223958,62880.36333835383,54030.42142857142,473841.0,436311.0,495378.0,538717.0,577180.0,633518.0,691113.0,746320.0,430530.7875,482815.715465,530138.5867379506,570537.6415150114,630597.25,693351.5,749356.5,47931.28858341962
18,2021-02-27,1,13.00426928521603,0.11373881181111924,13.06195562883457,0.15034427589823576,355523.03081681416,384041.97399553854,411495.60658226116,444306.2185960672,479732.98554202885,514027.18778190005,555260.8376160368,16447.06184242748,350559.687287642,388202.2270979363,425299.94662435696,470690.304360178,520924.971604473,570706.0577032294,631987.5634670191,15803.909722843926,19344.342857142856,482933.0,327508.0,364332.0,394930.0,440786.0,485904.0,534836.0,601020.0,327508.102582256,364090.0,394930.17918,440785.81810551847,490030.118592327,534924.084698292,607123.1098289695,19692.102700377018
19,2021-03-06,1,13.008068275837156,0.1361651398311955,13.01926669978434,0.15013038319517297,341529.5573613398,374581.85433667526,406860.7566712237,445997.3440042981,488898.5423079928,531028.4749674607,582419.9591850749,15205.868720003788,336050.4430279424,372081.0076932671,407585.21041896066,451019.8811042752,499083.2050608958,546706.0369794721,605322.6156122054,17321.21327309956,11875.657142857144,423909.0,309230.0,344236.0,386940.0,423517.0,460769.0,513786.0,547492.0,307807.9,344236.0,396171.17045973,430401.971750451,461511.75,518091.2356,563719.605121695,12389.984842381537
20,2021-03-13,1,12.855907489943858,0.1341404986825362,12.884809908518543,0.2393497727217043,294489.0040417946,322545.5107461291,349909.9443484761,383044.89857364574,419317.5892628315,454892.0677391738,498230.46806349076,10610.729375788169,246641.95135338377,290126.0702723913,335497.88793756365,394277.36335561494,463355.045870172,535817.546864036,630284.6632604005,20913.76760508556,11459.621428571429,380130.0,278275.0,313135.0,341718.0,380727.0,420485.0,454859.0,516116.0,270435.0,313135.0,345440.613,382662.07216,423989.2,465669.6,516323.688385405,12086.81715418146
21,2021-03-20,1,12.866720219283714,0.13590942244866677,12.83410709524729,0.1811518879571106,296660.1973522656,325313.71939745906,353292.1828080888,387209.1321806431,424382.1950782603,460880.9991837614,505396.1177881004,10551.91289925444,262775.6536348011,297137.89698220015,331678.69846434396,374784.73317059455,423492.96734488313,472721.9168081012,534538.0908574067,15181.189585140788,15909.964285714286,386441.0,249830.0,275033.0,307693.0,352572.0,385887.0,412877.0,444369.0,249830.0,276032.009,308947.703036847,355619.5,385887.0,418571.05,444369.0,15519.1295259395
22,2021-03-27,1,12.804038209336232,0.14004236043001178,12.816520792194627,0.16720694470121722,276387.79878693935,303934.2588090742,330903.169614694,363683.1168418259,399710.31292869133,435177.69268278463,478550.1026322272,28975.94727497094,265348.9954821203,297222.5519806013,328976.4418393004,368251.2733627371,412214.9281422409,456254.07436151773,511059.0303418536,26886.417103345902,26012.207142857143,431725.0,268365.0,306686.0,336723.0,370309.0,407614.0,430331.0,458064.0,276311.0,321472.0,350878.60811,374254.5,407614.0,430331.0,458064.0,23958.235135000003
23,2021-04-03,1,12.863808174353746,0.1760163257107213,12.853724255927146,0.19728542935709853,273435.9030573637,308116.78944048536,342863.252808211,386083.2019657839,434751.2823823461,483778.3721907313,545137.7714976995,31235.236861236775,259640.1517765806,296823.45251919224,334588.68683923065,382209.534150978,436608.09149264765,492158.30742505775,562640.7433377735,32767.426535666844,17996.12142857143,459857.0,292531.0,334917.0,381931.0,418783.0,460282.0,498576.0,552362.0,292531.455773793,334917.0,385442.625,422140.04099688446,467666.652,519799.168870212,556615.307985893,18429.94269825185
24,2021-04-10,1,13.020201876263318,0.12458049498170576,12.996658681592363,0.24526825263594268,353637.8312751392,384825.60933427943,415058.02525221556,451441.86157098477,491015.09181718517,529589.8958783826,576295.1142523969,15209.62759559765,272649.3291511268,322008.99806855153,373707.1540569627,440937.6148920537,520262.9334654308,603790.51949754,713099.0596310055,27223.437945995996,17256.164285714287,479845.0,324815.0,381922.0,412740.0,446309.0,500831.0,533102.0,584328.0,338913.5,386914.159,417316.139100507,451612.5,500831.0,533102.0,584217.912983122,15927.531328414658
25,2021-04-17,1,13.102046931727049,0.2072942799380204,13.14814764101481,0.24364148699196514,326360.412292359,375640.79103311937,426014.6714298236,489944.2713730188,563467.422954189,639029.0798585664,735522.3857120321,21891.20051018208,318258.4607731587,375460.48511351546,435310.1111682394,513059.77663258207,604696.1181118564,701086.651818209,827096.1084861606,29964.55654728277,13783.957142857142,478568.0,347567.0,405190.0,439177.0,483748.0,523078.0,582483.0,625539.0,347567.2575,405889.9127,441873.5862748935,485835.504933692,523077.731552306,582482.7969306919,625538.97,13869.534291933804
26,2021-04-24,1,13.070195294234383,0.1064540101795012,13.08497408945827,0.3705351495554718,385212.0605568146,414061.1680597896,441703.0733223755,474584.6570235374,509914.03566206293,543954.8889299027,584692.484333391,26633.769474366094,232987.14079956253,299573.23428182415,375139.0097747849,481650.5304281914,618403.384923983,774392.3919568718,995708.3153414692,46062.22975212791,31752.58571428572,413947.0,349775.0,401172.0,446264.0,479642.0,533399.0,574729.0,622979.0,350030.15,403908.48032,449813.6523872595,478281.9895781675,522407.869837603,574313.1070529,612547.1371791995,31367.453969056896
27,2021-05-01,1,12.803503390551764,0.12152030929679698,12.896075082222671,0.2568854665374508,286452.4867127911,311068.63182586734,334883.9013112952,363488.6642824207,394536.75899159134,424742.3093942171,461242.3183265686,10803.760030989655,241008.8224929965,286892.57180946204,335309.23281865765,398744.07826413657,474179.7254258869,554203.4042495623,659713.7744006701,27630.534093022135,24916.221428571425,349163.0,297212.0,332345.0,367271.0,405742.0,442670.0,490658.0,542341.0,299603.910708898,332740.7515065111,367271.1986445519,398778.3570870765,434955.225,472619.188840618,513687.5364819328,22621.948044196783
