conf_level,mu,sigma,E(X),Var(X)
0.95,10.14115181926417,0.7852522677543852,34525.807997801174,1016394593.1870385
0.9,10.033346792955793,0.7675102648634831,30573.313399143393,749945983.9158658
0.8,9.942921869704213,0.7502559120553669,27566.700963688934,574295554.5838677
0.5,9.824979966829272,0.7206491905773682,23972.13983366498,391294060.15920186
